width,height,food_class_idx,food_weight,user_age,user_weight,user_height,user_gender,activity_level,bmr,tdee,kalori,protein,lemak
114,231,4,80.03918364436417,36,90,175,M,1.2,1929.5450000000003,2315.454,20.009795911091043,1.4407053055985553,0.16007836728872835
222,136,0,140.36361037523272,40,60,175,M,1.75,1504.9270000000001,2633.6222500000003,182.47269348780256,3.509090259380818,0.4210908311256982
260,179,6,86.08133343208561,36,75,155,M,2.0,1632.61,3265.22,133.4260668197327,11.19057334617113,9.468946677529418
237,57,0,174.99943672233564,40,60,180,F,1.5,1386.8529999999998,2080.2794999999996,227.49926773903636,4.374985918058392,0.5249983101670069
285,395,0,182.98553118799802,30,70,170,F,1.2,1491.643,1789.9716,237.88119054439744,4.5746382796999505,0.5489565935639941
334,344,8,119.9715370979703,36,75,180,M,1.5,1752.5849999999998,2628.8774999999996,50.38804558114752,4.07903226133099,1.199715370979703
120,439,11,270.71201663110355,40,70,165,M,1.5,1590.9070000000002,2386.3605000000002,373.58258295092287,12.18204074839966,5.414240332622071
112,318,0,292.42067112862617,40,70,175,F,1.75,1463.8329999999999,2561.7077499999996,380.14687246721405,7.310516778215654,0.8772620133858785
180,88,0,278.6814101174309,50,90,175,F,1.75,1605.473,2809.57775,362.2858331526602,6.967035252935773,0.8360442303522928
58,371,4,116.33368309024534,36,80,155,M,1.5,1699.595,2549.3925,29.083420772561336,2.0940062956244163,0.2326673661804907
265,460,7,210.52912359859798,30,70,155,F,1.5,1445.173,2167.7595,526.3228089964949,54.737572135635475,31.579368539789694
304,426,5,225.99755904595753,50,80,155,M,2.0,1620.1170000000002,3240.2340000000004,117.51873070389792,1.1299877952297877,0.45199511809191506
274,269,1,223.02163531930216,50,70,170,F,1.5,1405.0430000000001,2107.5645000000004,533.0217084131322,60.215841536211585,31.223028944702307
339,484,10,125.50550197724887,30,80,180,M,1.2,1853.632,2224.3584,504.5321179485404,31.376375494312217,41.416815652492126
198,152,5,63.689503267076795,30,90,155,F,1.75,1630.113,2852.6977500000003,33.11854169887994,0.318447516335384,0.1273790065341536
435,390,5,163.50666578816538,30,75,155,F,1.5,1491.408,2237.112,85.023466209846,0.8175333289408269,0.3270133315763308
93,249,8,121.58051457064127,30,70,165,F,2.0,1476.1529999999998,2952.3059999999996,51.06381611966933,4.133737495401803,1.2158051457064127
317,418,7,89.84801285774807,36,80,170,F,2.0,1558.1329999999998,3116.2659999999996,224.62003214437019,23.3604833430145,13.477201928662211
384,125,3,251.4395906178643,30,75,170,M,1.75,1738.6570000000002,3042.6497500000005,517.9655566728005,55.31670993593015,30.172750874143716
232,318,9,177.03244135402832,36,70,165,M,2.0,1613.615,3227.23,469.13596958817504,15.932919721862548,5.665038123328906
177,219,6,192.07722848055366,36,60,155,M,2.0,1431.655,2863.31,297.71970414485816,24.970039702471976,21.128495132860902
208,228,5,249.4396943719082,25,75,170,M,2.0,1767.0420000000001,3534.0840000000003,129.70864107339227,1.247198471859541,0.4988793887438164
150,298,0,283.90165491672917,30,75,165,M,1.2,1714.662,2057.5944,369.0721513917479,7.097541372918229,0.8517049647501875
59,491,10,262.12489499100025,36,80,155,M,2.0,1699.595,3399.19,1053.742077863821,65.53122374775006,86.50121534703008
137,225,5,143.8409384193128,40,60,170,M,1.5,1480.9320000000002,2221.398,74.79728797804266,0.719204692096564,0.2876818768386256
419,407,10,241.72615739821717,50,70,155,M,1.2,1486.1470000000002,1783.3764,971.7391527408329,60.43153934955429,79.76963194141167
173,141,1,274.3697627968987,36,90,155,M,1.5,1833.565,2750.3475,655.743733084588,74.07983595516266,38.411766791565825
393,185,1,167.6337293480154,50,60,165,M,1.2,1400.1670000000001,1680.2004000000002,400.64461314175685,45.261106923964164,23.468722108722158
208,142,11,144.81376676128826,50,75,165,F,1.2,1435.788,1722.9456,199.8429981305778,6.516619504257972,2.8962753352257655
462,265,2,288.6910790056961,36,90,155,M,2.0,1833.565,3667.13,222.292130834386,5.773821580113922,0.2886910790056961
275,79,5,299.64627052758834,36,60,165,M,1.2,1479.645,1775.5739999999998,155.81606067434595,1.4982313526379418,0.5992925410551767
266,448,1,126.7523463348756,36,70,155,M,1.5,1565.625,2348.4375,302.9381077403527,34.22313351041641,17.745328486882585
387,399,6,288.63453324455475,36,60,180,F,2.0,1404.1729999999998,2808.3459999999995,447.38352652905985,37.522489321792115,31.74979865690102
228,169,2,285.4824772664732,25,75,170,F,2.0,1559.5279999999998,3119.0559999999996,219.82150749518436,5.709649545329464,0.2854824772664732
119,306,5,211.68451654554173,50,70,170,F,1.75,1405.0430000000001,2458.8252500000003,110.0759486036817,1.0584225827277087,0.4233690330910835
175,297,10,54.9179044789246,36,90,170,M,2.0,1905.55,3811.1,220.76997600527687,13.72947611973115,18.12290847804512
191,288,9,96.88236875607168,36,75,155,F,2.0,1465.4279999999999,2930.8559999999998,256.73827720359,8.71941318804645,3.100235800194294
297,248,10,89.61056309965039,30,60,170,M,2.0,1537.7020000000002,3075.4040000000005,360.23446366059454,22.402640774912598,29.571485822884632
237,239,6,95.39116404538876,30,70,165,M,1.75,1647.6770000000001,2883.4347500000003,147.85630427035258,12.40085132590054,10.493028044992764
161,191,5,277.52898722955786,50,75,165,M,2.0,1601.122,3202.244,144.3150733593701,1.3876449361477894,0.5550579744591158
278,151,4,238.58807167937692,50,70,170,F,1.5,1405.0430000000001,2107.5645000000004,59.64701791984423,4.2945852902287855,0.47717614335875386
451,256,6,281.7535302436868,50,60,165,M,2.0,1400.1670000000001,2800.3340000000003,436.71797187771455,36.62795893167928,30.992888326805545
348,352,9,285.3541015123245,50,80,175,F,1.5,1513.0030000000002,2269.5045,756.18836900766,25.681869136109206,9.131331248394385
216,281,0,214.54472807736937,25,70,180,M,1.2,1748.0470000000003,2097.6564000000003,278.9081465005802,5.363618201934234,0.6436341842321082
325,295,8,267.3300410141129,36,60,175,M,1.5,1527.635,2291.4525,112.27861722592742,9.08922139447984,2.6733004101411293
112,322,10,238.5212641760071,36,90,165,M,1.5,1881.555,2822.3325,958.8554819875484,59.63031604400177,78.71201717808235
376,414,4,55.8029926207647,50,70,165,F,2.0,1389.5529999999999,2779.1059999999998,13.950748155191175,1.0044538671737646,0.1116059852415294
376,134,8,284.8764165731482,40,70,155,F,1.2,1401.873,1682.2476,119.64809496072225,9.685798163487041,2.8487641657314824
406,260,3,131.84753950701872,30,60,170,F,2.0,1399.1729999999998,2798.3459999999995,271.6059313844586,29.00645869154412,15.821704740842247
350,476,11,260.3749586004425,30,75,175,F,1.75,1553.368,2718.394,359.3174428686106,11.716873137019912,5.20749917200885
54,55,6,243.45781133668237,36,70,155,F,1.75,1419.1930000000002,2483.5877500000006,377.3596075718577,31.64951547376871,26.78035924703506
126,350,6,103.5479677210794,36,75,180,F,2.0,1542.8779999999997,3085.7559999999994,160.49934996767308,13.461235803740323,11.390276449318735
241,443,10,193.2450834892854,36,70,155,F,2.0,1419.1930000000002,2838.3860000000004,776.8452356269272,48.31127087232135,63.77087755146419
